age,type,id,condition,Hz,genotype_label
3days,WT,1205_w1,before,11.8,WT
3days,WT,1205_w1,UV,13.1,WT
3days,WT,1205_w2,before,9,WT
3days,WT,1205_w2,UV,11.9,WT
3days,WT,1205_w3,before,10,WT
3days,WT,1205_w3,UV,11.7,WT
3days,WT,1205_w4,before,11.8,WT
3days,WT,1205_w4,UV,15.5,WT
3days,WT,1205_w5,before,11.7,WT
3days,WT,1205_w5,UV,13.8,WT
3days,WT,1205_w6,before,11,WT
3days,WT,1205_w6,UV,12,WT
3days,NOSΔ11/Δ11,1205_n1,before,9.5,NOS^'Δ11/Δ11'
3days,NOSΔ11/Δ11,1205_n1,UV,9.7,NOS^'Δ11/Δ11'
3days,NOSΔ11/Δ11,1205_n2,before,8.1,NOS^'Δ11/Δ11'
3days,NOSΔ11/Δ11,1205_n2,UV,8.6,NOS^'Δ11/Δ11'
3days,NOSΔ11/Δ11,1205_n3,before,13.8,NOS^'Δ11/Δ11'
3days,NOSΔ11/Δ11,1205_n3,UV,13.9,NOS^'Δ11/Δ11'
3days,NOSΔ11/Δ11,1205_n4,before,14.9,NOS^'Δ11/Δ11'
3days,NOSΔ11/Δ11,1205_n4,UV,13.8,NOS^'Δ11/Δ11'
3days,NOSΔ11/Δ11,1205_n6,before,16.1,NOS^'Δ11/Δ11'
3days,NOSΔ11/Δ11,1205_n6,UV,14.9,NOS^'Δ11/Δ11'
3days,NOSΔ11/Δ11,1205_n7,before,10.6,NOS^'Δ11/Δ11'
3days,NOSΔ11/Δ11,1205_n7,UV,9.6,NOS^'Δ11/Δ11'
3days,NOSΔ23/Δ23,1213_n1,before,10.2,NOS^'Δ23/Δ23'
3days,NOSΔ23/Δ23,1213_n1,UV,10,NOS^'Δ23/Δ23'
3days,NOSΔ23/Δ23,1213_n2,before,8.7,NOS^'Δ23/Δ23'
3days,NOSΔ23/Δ23,1213_n2,UV,8.7,NOS^'Δ23/Δ23'
3days,NOSΔ23/Δ23,1213_n3,before,11,NOS^'Δ23/Δ23'
3days,NOSΔ23/Δ23,1213_n3,UV,9.1,NOS^'Δ23/Δ23'
3days,NOSΔ23/Δ23,1213_n4,before,7.6,NOS^'Δ23/Δ23'
3days,NOSΔ23/Δ23,1213_n4,UV,7.9,NOS^'Δ23/Δ23'
3days,NOSΔ23/Δ23,1213_n5,before,8.4,NOS^'Δ23/Δ23'
3days,NOSΔ23/Δ23,1213_n5,UV,8.3,NOS^'Δ23/Δ23'
3days,NOSΔ23/Δ23,1213_n6,before,11.4,NOS^'Δ23/Δ23'
3days,NOSΔ23/Δ23,1213_n6,UV,11.6,NOS^'Δ23/Δ23'
3days,NOSΔ23/Δ23,1213_n7,before,9.4,NOS^'Δ23/Δ23'
3days,NOSΔ23/Δ23,1213_n7,UV,9.8,NOS^'Δ23/Δ23'
3days,NOSΔ23/Δ23,1213_n8,before,16.2,NOS^'Δ23/Δ23'
3days,NOSΔ23/Δ23,1213_n8,UV,15.4,NOS^'Δ23/Δ23'
