Date,Track ID,ID,Speed,Edge time,Edge X,Edge Y,Y,L-NAME,sec,Ymm,y_axis,mm/sec
0804_04_,110,0804_04_110,0.367271647,0.5,26.45162411,281.531879,0,0 mM,0.016666667,0,0,2.369494497
0804_04_,110,0804_04_110,0.202848649,1.5,26.29498146,281.4628177,0.0690613,0 mM,0.05,0.148518925,0.014851893,1.308700961
0804_04_,110,0804_04_110,0.375462884,2.5,26.38079022,281.4243717,0.1075073,0 mM,0.083333333,0.231198495,0.02311985,2.422341187
0804_04_,110,0804_04_110,0.069000064,3.5,26.50987784,281.3334365,0.1984425,0 mM,0.116666667,0.426758065,0.042675807,0.445161703
0804_04_,110,0804_04_110,0.47278625,4.5,26.41345432,281.5865835,-0.0547045,0 mM,0.15,-0.117644086,-0.011764409,3.050233871
0804_04_,110,0804_04_110,0.399385089,5.5,26.37572045,281.6133347,-0.0814557,0 mM,0.183333333,-0.175173548,-0.017517355,2.576677994
0804_04_,110,0804_04_110,0.237964223,6.5,26.43631641,281.5370782,-0.0051992,0 mM,0.216666667,-0.011181075,-0.001118108,1.535253052
0804_04_,110,0804_04_110,0.213879606,7.5,26.41634857,281.5539723,-0.0220933,0 mM,0.25,-0.047512473,-0.004751247,1.379868426
0804_04_,110,0804_04_110,0.191712748,8.5,26.28646442,281.4422115,0.0896675,0 mM,0.283333333,0.192833333,0.019283333,1.236856439
0804_04_,110,0804_04_110,0.364781462,9.5,26.31754589,281.300099,0.23178,0 mM,0.316666667,0.498451613,0.049845161,2.353428787
0804_04_,110,0804_04_110,0.044969683,10.5,26.42430567,281.1795956,0.3522834,0 mM,0.35,0.75759871,0.075759871,0.290126987
0804_04_,110,0804_04_110,0.089619739,11.5,26.39769625,281.2348843,0.2969947,0 mM,0.383333333,0.63869828,0.063869828,0.578191865
0804_04_,110,0804_04_110,0.167984815,12.5,26.35348375,281.3544487,0.1774303,0 mM,0.416666667,0.381570538,0.038157054,1.083773
0804_04_,110,0804_04_110,0.185647308,13.5,26.23143167,281.3921312,0.1397478,0 mM,0.45,0.300532903,0.03005329,1.197724568
0804_04_,110,0804_04_110,0.278723425,14.5,26.15661161,281.4935061,0.0383729,0 mM,0.483333333,0.082522366,0.008252237,1.798215645
0804_04_,110,0804_04_110,0.146115306,15.5,26.23155357,281.5989698,-0.0670908,0 mM,0.516666667,-0.14428129,-0.014428129,0.942679394
0804_04_,110,0804_04_110,0.330399725,16.5,26.16773712,281.6689789,-0.1370999,0 mM,0.55,-0.294838495,-0.02948385,2.131611129
0804_04_,110,0804_04_110,0.11827403,17.5,26.02482287,281.8299329,-0.2980539,0 mM,0.583333333,-0.640976129,-0.064097613,0.763058258
0804_04_,110,0804_04_110,0.225052451,18.5,25.89885417,281.8743746,-0.3424956,0 mM,0.616666667,-0.736549677,-0.073654968,1.451951297
0804_04_,110,0804_04_110,0.102072623,19.5,25.74765376,281.8938185,-0.3619395,0 mM,0.65,-0.778364516,-0.077836452,0.658533052
0804_04_,110,0804_04_110,0.335073253,20.5,25.54249823,281.9507553,-0.4188763,0 mM,0.683333333,-0.900809247,-0.090080925,2.161762923
0804_04_,110,0804_04_110,0.107453634,21.5,25.32311988,281.9782155,-0.4463365,0 mM,0.716666667,-0.959863441,-0.095986344,0.693249252
0804_04_,110,0804_04_110,0.324172163,22.5,25.19100344,282.1229749,-0.5910959,0 mM,0.75,-1.271173978,-0.127117398,2.09143331
0804_04_,110,0804_04_110,0.284604936,23.5,24.97177292,282.2439096,-0.7120306,0 mM,0.783333333,-1.531248602,-0.15312486,1.836160877
0804_04_,110,0804_04_110,0.536968878,24.5,24.63214845,282.4033994,-0.8715204,0 mM,0.816666667,-1.874237419,-0.187423742,3.464315342
0804_04_,110,0804_04_110,0.310795297,25.5,24.32580176,282.4715487,-0.9396697,0 mM,0.85,-2.020795054,-0.202079505,2.005130948
0804_04_,110,0804_04_110,0.500812683,26.5,24.18272669,282.6071814,-1.0753024,0 mM,0.883333333,-2.31247828,-0.231247828,3.231049568
0804_04_,110,0804_04_110,0.693530794,27.5,23.81505384,282.9548884,-1.4230094,0 mM,0.916666667,-3.060235269,-0.306023527,4.474392219
